top_n_features,corr_threshold,num_leaves,min_child_samples,learning_rate,gv_auc,oos_auc,tr_long_threshold,tr_short_threshold,tr_entry_atr_mult,tr_sl_atr_mult,tr_tp_atr_mult,tr_min_sl,tr_min_hold,tr_max_hold,tr_cooldown,tr_sharpe,tr_total_ret,tr_maxdd,tr_win_rate,tr_n_trades
35,0.9,31,30,0.02,0.5621644722467873,0.5302057765701793,0.6,0.35,0.3,1.5,3.0,0.01,8,24,3,2.0969110598272147,1.545692751106155,-0.1255201521171212,0.5752688172043011,186
20,0.85,63,30,0.02,0.5568368458136354,0.5371475113911279,0.58,0.35,0.3,1.5,2.5,0.01,4,24,3,2.0865952565407047,1.5864546414796106,-0.11677751526499945,0.5798319327731093,238
35,0.9,63,50,0.02,0.5623019280334577,0.534581226097598,0.6,0.35,0.3,1.5,2.5,0.01,4,48,2,2.0035173706069878,1.245707891003014,-0.11492878647080752,0.5063291139240507,158
35,0.9,63,30,0.02,0.5607659171070207,0.5322808631952278,0.55,0.4,0.3,1.5,2.0,0.01,4,24,2,1.9940120902843455,2.9116046996792306,-0.23293692856877565,0.5306859205776173,554
35,0.9,31,50,0.02,0.5636709270264346,0.533275843988477,0.6,0.3,0.3,1.5,2.5,0.01,8,48,3,1.8653361650510907,1.3370366121674508,-0.12114211247317384,0.5424836601307189,153
20,0.85,31,30,0.02,0.557347872750695,0.5349560313182358,0.58,0.35,0.6,1.5,2.5,0.01,4,24,3,1.859466099263477,1.5677702104618936,-0.1369579849619848,0.5441176470588235,272
50,0.85,63,30,0.02,0.5601416078341712,0.5340569905721589,0.55,0.4,0.3,1.5,3.0,0.01,4,24,2,1.7612537869883,3.2238572689776586,-0.19023542579874708,0.4907749077490775,542
20,0.85,31,50,0.02,0.5568349495839825,0.5346158059427564,0.55,0.35,0.3,1.5,2.0,0.01,4,48,2,1.749666300725676,1.9152536606113406,-0.15736459401412117,0.4973404255319149,376
50,0.85,63,50,0.02,0.5602087779447109,0.5340221218570634,0.58,0.4,0.3,2.5,2.0,0.015,4,48,3,1.7253712983800604,1.8607192043601941,-0.21117280994520346,0.6171171171171171,222
50,0.85,31,50,0.02,0.5600639041447286,0.5332660858210883,0.55,0.35,0.3,1.5,3.0,0.01,8,24,2,1.6971211366844956,2.584075666805437,-0.16032581382031558,0.5010309278350515,485
35,0.9,31,50,0.01,0.561450660007071,0.5301285848864883,0.58,0.35,0.3,1.5,3.0,0.01,8,24,3,1.6923238883649794,1.1833343676123027,-0.10519216100009872,0.5714285714285714,154
50,0.85,63,50,0.01,0.5558805850813349,0.5373697862393466,0.6,0.4,1.0,1.5,2.0,0.01,4,24,3,1.6835612517923124,0.78847954139589,-0.16894478447931174,0.5801526717557252,131
20,0.9,31,30,0.02,0.5585962733922529,0.537871250359009,0.6,0.35,0.3,1.5,2.5,0.01,4,24,3,1.6453489582761023,1.1320040286842987,-0.13070484443014824,0.5426829268292683,164
20,0.9,63,30,0.02,0.5585480887595335,0.5334428319489699,0.6,0.35,0.3,1.5,2.5,0.01,4,24,2,1.592638240213435,1.2598504989957333,-0.12255083031088174,0.5076142131979695,197
50,0.9,63,30,0.02,0.5613418933868848,0.5359586777332317,0.58,0.4,0.3,1.5,3.0,0.01,4,24,2,1.495444868358607,1.535894101559407,-0.16880967075579376,0.5185185185185185,324
35,0.85,31,30,0.02,0.5615726399634693,0.5336724412753486,0.6,0.3,0.3,1.5,2.5,0.015,8,24,2,1.4917042581892792,0.9687380318118044,-0.09619594789612859,0.5875,160
50,0.9,31,50,0.02,0.5620155834471001,0.5375458207607977,0.63,0.4,0.3,1.5,2.5,0.015,4,24,2,1.4847848935835635,0.7590865522471342,-0.08869229971751527,0.5955882352941176,136
50,0.85,31,30,0.01,0.5563172742524921,0.5323064669355102,0.58,0.4,1.0,1.5,3.0,0.015,4,24,3,1.483770147073064,1.0598476841833735,-0.1868710084645107,0.5401459854014599,137
20,0.85,63,50,0.02,0.5582117884897785,0.5317431916949076,0.55,0.35,0.3,1.5,2.0,0.01,4,48,2,1.3939233922503211,1.3192586800741366,-0.1663453858997018,0.5,376
50,0.9,63,50,0.02,0.5599943880874791,0.5370539104858857,0.58,0.3,0.3,2.0,2.5,0.015,4,48,2,1.3490680429245174,0.9757081833494403,-0.14914265264470608,0.5637583892617449,149
35,0.85,63,50,0.02,0.5625979021283458,0.5322376454343881,0.55,0.35,0.3,1.5,2.0,0.015,4,24,2,1.3326319915124507,1.7262172886848144,-0.19950251621961124,0.5371549893842887,471
