top_n_features,corr_threshold,num_leaves,min_child_samples,learning_rate,gv_auc,oos_auc,tr_long_threshold,tr_short_threshold,tr_entry_atr_mult,tr_sl_atr_mult,tr_tp_atr_mult,tr_min_sl,tr_min_hold,tr_max_hold,tr_cooldown,tr_sharpe,tr_total_ret,tr_maxdd,tr_win_rate,tr_n_trades
20,0.85,63,50,0.01,0.5061506647088223,0.50778414858428,0.58,0.4,1.0,1.5,3.0,0.015,8,24,2,1.8816695316053467,1.2151166241950704,-0.10162046790175179,0.5572519083969466,131
50,0.85,63,50,0.02,0.5102602803742342,0.4981239843357024,0.6,0.4,0.3,1.5,3.0,0.015,4,24,2,1.8759235569311983,1.3337333414699932,-0.10918500905124522,0.5076923076923077,130
50,0.85,31,30,0.01,0.5091228215199027,0.5145924616649471,0.55,0.35,0.6,2.0,2.0,0.015,4,24,2,1.8488124836942972,1.3219749843538584,-0.18311956699482818,0.6136363636363636,132
50,0.85,31,50,0.02,0.511704996304132,0.49384440457019174,0.6,0.4,0.3,1.5,2.0,0.015,4,48,2,1.8119514341305236,1.4394413171972382,-0.1713573873222266,0.5527950310559007,161
50,0.85,63,30,0.02,0.5164789640597298,0.5017731949157829,0.58,0.3,1.0,2.5,3.0,0.01,8,48,2,1.8038400673966073,1.8133678305224001,-0.17489805921406626,0.582089552238806,134
50,0.9,63,50,0.02,0.5054340759635243,0.49663669841329994,0.58,0.3,1.0,1.5,2.0,0.01,4,24,2,1.717859474699241,1.1213447942823693,-0.1403970005596216,0.5337423312883436,163
50,0.9,31,50,0.02,0.5084655979218016,0.4999168387780458,0.55,0.3,0.3,1.5,2.5,0.015,4,24,3,1.660014884676113,1.4393493209976072,-0.2579380135393335,0.5491329479768786,173
20,0.85,63,50,0.02,0.5092748816664163,0.49948559352920935,0.58,0.3,0.3,1.5,3.0,0.015,8,24,2,1.5404478962768695,0.9568869436222607,-0.1714727961731604,0.5546875,128
50,0.9,63,30,0.01,0.5045135163959624,0.48743483797389275,0.55,0.3,1.0,1.5,3.0,0.01,4,24,2,1.5272565490640326,0.9768005722968631,-0.18456400944963725,0.5327868852459017,122
35,0.85,63,50,0.01,0.49822618637728555,0.4963678579490936,0.55,0.3,0.3,1.5,2.0,0.01,4,24,2,1.4977157885656616,0.6327285761088997,-0.12611332695683722,0.544,125
50,0.9,31,30,0.02,0.5053025094629349,0.4847686393369212,0.55,0.4,0.3,1.5,3.0,0.015,4,24,3,1.3927077849529121,1.313657147587302,-0.17823824367066593,0.5139442231075697,251
20,0.85,31,50,0.01,0.5070251012719469,0.4949137029589066,0.55,0.3,0.3,1.5,2.0,0.01,4,48,3,1.3875981112427542,0.702919082260423,-0.15882047879621372,0.5403225806451613,124
50,0.85,31,30,0.02,0.5175828716419973,0.5021953583181105,0.58,0.3,0.3,1.5,2.0,0.01,4,24,3,1.3332064532015697,0.8648561985064922,-0.2513914422605908,0.5238095238095238,168
20,0.85,31,30,0.02,0.5015488079057745,0.5044593112886765,0.6,0.35,0.3,1.5,2.5,0.01,4,24,3,1.3097131382472653,0.847161021527691,-0.18654179829751216,0.4918918918918919,185
50,0.9,63,30,0.02,0.5090719687394403,0.48187608903137136,0.55,0.3,0.3,1.5,3.0,0.01,4,24,3,1.271570347365472,0.9331004423843079,-0.12174971676043059,0.49504950495049505,202
35,0.85,63,50,0.02,0.5026196193569743,0.5036198637505771,0.55,0.3,0.3,1.5,2.0,0.01,4,24,2,1.228510308875612,0.7167753757327451,-0.19822788548158857,0.52,200
50,0.85,31,50,0.01,0.5098126615058598,0.5099377838310758,0.55,0.35,1.0,1.5,2.0,0.01,4,24,2,1.2283356698099472,0.5869104934886127,-0.12937108109243856,0.5114503816793893,131
35,0.9,63,50,0.02,0.5004205994846573,0.5044923086643256,0.55,0.4,0.3,1.5,3.0,0.01,8,24,3,1.221497553805622,1.4163532959953136,-0.19759597410664204,0.4959349593495935,246
35,0.85,31,50,0.01,0.50119828783338,0.49706474720831606,0.55,0.3,1.0,1.5,2.0,0.01,4,24,3,1.2195919243880509,0.4690668215376357,-0.12768995243446132,0.5,120
20,0.85,63,30,0.01,0.508105120102483,0.5136103222914048,0.55,0.35,0.3,1.5,3.0,0.01,8,24,3,1.1761013466102082,0.7696325311919432,-0.14279664813376494,0.5140845070422535,142
35,0.9,63,30,0.02,0.5037321315642864,0.4901457246379508,0.6,0.4,0.3,1.5,2.0,0.01,4,48,3,1.1681249957663304,0.6391244242890219,-0.17902331888435732,0.55,120
35,0.9,63,30,0.01,0.49995607889389415,0.48562636631706246,0.55,0.4,0.3,1.5,2.5,0.01,4,48,2,1.1542494168139064,0.7947874252912168,-0.19491566665378193,0.48125,160
50,0.85,63,30,0.01,0.5142808667705127,0.5121287882051245,0.55,0.4,0.6,1.5,2.0,0.01,4,24,3,1.1438900992068197,0.6035600710956495,-0.13555703116123094,0.5142857142857142,140
35,0.85,31,50,0.02,0.5063761317173122,0.49387981486780547,0.55,0.3,0.6,1.5,2.0,0.01,4,24,2,1.1269763449496395,0.7671094963464606,-0.17596552032683785,0.5148514851485149,202
20,0.9,31,30,0.02,0.5068947279788332,0.5055892265509528,0.55,0.3,0.3,1.5,2.0,0.01,4,24,3,1.1248529879166624,0.6922150442897672,-0.16726747179159546,0.4975369458128079,203
50,0.9,31,50,0.01,0.5100391802590835,0.4942109728258509,0.55,0.35,0.3,1.5,2.5,0.01,4,24,3,1.1025231389511003,0.5916007317201877,-0.12097271868943044,0.488,125
35,0.9,31,50,0.02,0.4978754940893791,0.501986253254128,0.6,0.4,0.3,1.5,2.0,0.01,8,48,2,1.0748456648164528,0.6671590145031325,-0.17822579457563842,0.55,120
35,0.85,31,30,0.01,0.5083760827589023,0.49545222084180135,0.55,0.4,0.3,1.5,2.0,0.01,4,24,2,1.0679369749281769,0.44580355251101844,-0.11452316802706618,0.5121951219512195,123
20,0.85,31,50,0.02,0.5040677795971117,0.49647349228927184,0.58,0.3,0.6,1.5,3.0,0.01,4,24,2,1.0438718346024103,0.6810791164729235,-0.23058164017297783,0.47305389221556887,167
35,0.9,31,30,0.02,0.5056192137894436,0.4939238351120605,0.58,0.35,1.0,1.5,2.5,0.01,4,24,3,1.0098833162040388,0.6193525456049747,-0.16245862852114581,0.4928571428571429,140
35,0.85,31,30,0.02,0.5040843553401385,0.4893281269540995,0.55,0.3,0.3,1.5,2.0,0.01,4,24,3,0.9725523661815422,0.5373810455863202,-0.12823628122694794,0.4971751412429379,177
50,0.9,31,30,0.01,0.5037151375835875,0.48539061226621605,0.55,0.35,1.0,1.5,2.5,0.01,4,24,2,0.9509091776798417,0.4636540505089892,-0.14447157656735946,0.5038167938931297,131
