trade_direction,entry_atr_mult,sl_atr_mult,tp_atr_mult,min_sl,min_hold,max_hold,cooldown,long_threshold,short_threshold,signal_quantile,score,sharpe,total_ret,maxdd,win_rate,n_trades,n_long,n_short
long_only,0.3,1.5,3.0,0.01,8,24,3,0.85,0.15,0.15,1.8172689616939017,1.7475459011358494,0.517523309066741,-0.14686377223966174,0.5,158,158,0
long_only,0.3,1.5,2.5,0.01,8,48,2,0.8,0.2,0.2,1.5708612137198013,1.4996653596627183,0.47091264253326615,-0.1682630066587174,0.4935064935064935,154,154,0
long_only,1.0,1.5,3.0,0.01,8,24,3,0.85,0.15,0.15,1.5669888068630513,1.500518699880683,0.4264488555813555,-0.1510624456772184,0.4936708860759494,158,158,0
long_only,0.6,1.5,3.0,0.01,8,24,3,0.85,0.15,0.15,1.5409391031258577,1.4748750465186764,0.4184820424471305,-0.14758048986932423,0.4936708860759494,158,158,0
long_only,0.3,1.5,2.5,0.01,8,48,3,0.8,0.2,0.2,1.4496965362955843,1.3784380627196033,0.42223743237678035,-0.16346553312300682,0.4966887417218543,151,151,0
long_only,0.3,1.5,2.5,0.01,8,24,3,0.85,0.15,0.15,1.425928994826933,1.3638717501988493,0.3765840911609535,-0.1468637722396515,0.5,160,160,0
long_only,0.3,2.5,2.0,0.015,4,48,3,0.8,0.2,0.2,1.4133870934160828,1.3250352881082452,0.45243092789134143,-0.14948377823284237,0.5813953488372093,129,129,0
long_only,0.3,1.5,2.5,0.015,8,24,2,0.85,0.15,0.15,1.3978558650639517,1.3299551551605948,0.388925459676672,-0.15502188369464867,0.5163398692810458,153,153,0
long_only,0.6,1.5,2.5,0.01,8,48,2,0.8,0.2,0.2,1.381925389269843,1.3139971334252956,0.4007847617194573,-0.1652646540617835,0.5,154,154,0
long_only,0.6,2.5,2.0,0.015,4,48,3,0.8,0.2,0.2,1.3646749572618013,1.2771909426307997,0.43264801487299964,-0.15163768030758973,0.5891472868217055,129,129,0
long_only,0.3,1.5,3.0,0.01,8,48,3,0.8,0.2,0.2,1.3605152123654078,1.2864313688489784,0.40836495898241476,-0.16602407013571535,0.4794520547945205,146,146,0
long_only,0.3,1.5,3.0,0.01,8,24,2,0.85,0.15,0.15,1.346083898191863,1.2864667146951354,0.3631068794513068,-0.17369515111300693,0.5061728395061729,162,162,0
long_only,0.3,1.5,2.5,0.01,8,24,2,0.8,0.2,0.2,1.344029869285723,1.3032384376437285,0.3788808070729621,-0.14232992027945043,0.4842105263157895,190,190,0
long_only,0.3,1.5,2.5,0.01,8,24,3,0.8,0.2,0.2,1.3396194436316546,1.2957541176844753,0.3719768601426028,-0.1340697323512252,0.4864864864864865,185,185,0
long_only,0.6,1.5,2.5,0.015,8,24,2,0.85,0.15,0.15,1.332642472033052,1.2662316552796373,0.36782145448813464,-0.15337586517795954,0.5228758169934641,153,153,0
long_only,1.0,1.5,2.5,0.01,8,48,2,0.8,0.2,0.2,1.3016329921210115,1.23550678438326,0.373583660850731,-0.17381916483967783,0.4935064935064935,154,154,0
long_only,1.0,2.5,2.0,0.015,4,48,3,0.8,0.2,0.2,1.2981822141438084,1.2120838631113928,0.4061161375132982,-0.15163768030758973,0.5891472868217055,129,129,0
long_only,0.3,2.5,2.0,0.015,8,48,3,0.8,0.2,0.2,1.2763738481048108,1.1893994136447692,0.40895721260471896,-0.155053545411164,0.578125,128,128,0
long_only,0.3,1.5,3.0,0.01,4,24,3,0.85,0.15,0.15,1.2741501728992117,1.2192102614254499,0.3072218116894474,-0.1441135911509479,0.4906832298136646,161,161,0
long_only,0.6,1.5,2.5,0.01,8,48,3,0.8,0.2,0.2,1.235915605659996,1.1698064161158122,0.34676283743869707,-0.17903725076703608,0.4900662251655629,151,151,0
long_only,0.3,2.5,3.0,0.015,8,24,3,0.85,0.15,0.15,1.233445057978798,1.1598005509704359,0.3568067977883964,-0.20378752054330718,0.5323741007194245,139,139,0
long_only,0.6,2.5,2.0,0.015,8,48,3,0.8,0.2,0.2,1.228332516174466,1.142519904681726,0.38976643564708957,-0.1609984986430885,0.5859375,128,128,0
long_only,0.6,1.5,2.5,0.01,8,24,2,0.8,0.2,0.2,1.2077409436473017,1.170763225841015,0.3330409435654311,-0.14508951484294988,0.4789473684210526,190,190,0
long_only,0.3,1.5,2.5,0.01,8,24,2,0.85,0.15,0.15,1.2022343872698331,1.148624335206039,0.3143865747582846,-0.1694309874598908,0.5060975609756098,164,164,0
long_only,0.3,2.5,3.0,0.015,4,48,3,0.85,0.15,0.15,1.1965006205551665,1.1396615624089343,0.3821425144404338,-0.21502446502953973,0.5576923076923077,104,104,0
long_only,0.3,1.5,3.0,0.01,8,48,2,0.8,0.2,0.2,1.1908485344606852,1.1253676309923517,0.3561121754898935,-0.18351074829262762,0.45751633986928103,153,153,0
long_only,1.0,1.5,2.5,0.015,8,24,2,0.85,0.15,0.15,1.1806073059636444,1.1186781584878227,0.3186186332722347,-0.1482187638490998,0.5228758169934641,153,153,0
