n_trades,n_long,n_short,win_rate,avg_net,median_net,tp_rate,sl_rate,timeout_rate,total_ret,sharpe,sortino,maxdd,exposure,maker_entries,taker_entries,missed_entries,label
456,216,240,0.4232,0.000777,-0.0105,0.2851,0.5175,0.1974,0.3643,0.5759,0.4545,-0.2072,0.341,454,2,0,TCN 3-class both-side w/fees
456,216,240,0.4276,0.001136,-0.01,0.2851,0.5175,0.1974,0.6093,0.8836,0.6988,-0.1906,0.341,454,2,0,TCN 3-class both-side 0fee
825,825,0,0.4145,0.000887,-0.0105,0.2752,0.5297,0.1939,0.904,0.9132,0.9789,-0.2341,0.6236,821,4,0,Always-long same bracket
839,0,839,0.3802,-0.000303,-0.010546,0.2622,0.5507,0.1859,-0.285,-0.4584,-0.4744,-0.6227,0.6172,836,3,0,Always-short same bracket
456,216,240,0.4211,0.000782,-0.0105,0.2851,0.5175,0.1974,0.3675,0.5802,0.4575,-0.2072,0.3405,456,0,2,TCN miss-unfilled
456,216,240,0.4123,0.000146,-0.003651,0.2851,0.5175,0.1974,0.027,0.0517,0.041,-0.3204,0.341,0,456,0,TCN market+taker+0bp
456,216,240,0.4057,-0.000368,-0.004249,0.2851,0.5175,0.1974,-0.1884,-0.4042,-0.32,-0.3983,0.341,0,456,0,TCN market+taker+3bp
456,216,240,0.4035,-0.000711,-0.004648,0.2851,0.5175,0.1974,-0.3063,-0.7071,-0.5585,-0.4587,0.341,0,456,0,TCN market+taker+5bp
456,216,240,0.3904,-0.001569,-0.005644,0.2851,0.5175,0.1974,-0.5316,-1.459,-1.1465,-0.5846,0.341,0,456,0,TCN market+taker+10bp
532,312,220,0.4248,0.001827,-0.0105,0.3816,0.562,0.0545,1.484,1.4899,1.4013,-0.2199,0.4608,531,1,0,TCN raw-total-selected audit
916,916,0,0.3919,0.001214,-0.0105,0.3493,0.5961,0.0535,1.7132,1.1947,1.4099,-0.2174,0.791,910,6,0,Always-long raw-total bracket
908,0,908,0.3612,0.000228,-0.010546,0.3392,0.6167,0.043,0.1045,0.1223,0.1464,-0.5106,0.7928,903,5,0,Always-short raw-total bracket
