long_threshold,short_threshold,neutral_max,edge_margin,entry_atr_mult,sl_atr_mult,tp_atr_mult,min_hold,max_hold,cooldown,trade_direction,ret,sharpe,sortino,maxdd,n_trades,n_long,n_short,long_ratio,short_ratio,win_rate,median_net,baseline,baseline_ret,baseline_sharpe,skill_ret_delta,skill_sharpe_delta,baseline_trades,baseline_exposure
0.46,0.5,0.4,0.03,0.0,1.0,2.0,6,48,2,both,0.8805536008232981,2.440010502318945,1.9603181981629174,-0.15794898652767234,174,108,66,0.6206896551724138,0.3793103448275862,0.46551724137931033,-0.010499999999999912,always_long,1.9623964657517634,2.7800426852390894,-1.0818428649284653,-0.34003218292014425,420,0.8089708561020036
0.46,0.5,0.5,0.03,0.0,1.0,2.0,6,48,2,both,0.8805536008232981,2.440010502318945,1.9603181981629174,-0.15794898652767234,174,108,66,0.6206896551724138,0.3793103448275862,0.46551724137931033,-0.010499999999999912,always_long,1.9623964657517634,2.7800426852390894,-1.0818428649284653,-0.34003218292014425,420,0.8089708561020036
0.46,0.5,0.6,0.03,0.0,1.0,2.0,6,48,2,both,0.8805536008232981,2.440010502318945,1.9603181981629174,-0.15794898652767234,174,108,66,0.6206896551724138,0.3793103448275862,0.46551724137931033,-0.010499999999999912,always_long,1.9623964657517634,2.7800426852390894,-1.0818428649284653,-0.34003218292014425,420,0.8089708561020036
0.46,0.5,0.7,0.03,0.0,1.0,2.0,6,48,2,both,0.8805536008232981,2.440010502318945,1.9603181981629174,-0.15794898652767234,174,108,66,0.6206896551724138,0.3793103448275862,0.46551724137931033,-0.010499999999999912,always_long,1.9623964657517634,2.7800426852390894,-1.0818428649284653,-0.34003218292014425,420,0.8089708561020036
0.46,0.5,0.4,0.03,0.0,1.0,2.0,6,72,2,both,0.8463175987338813,2.349450700107975,1.9011080910374352,-0.13789680734678775,169,104,65,0.6153846153846154,0.38461538461538464,0.44970414201183434,-0.01049999999999995,always_long,1.642626226077132,2.497809118998148,-0.7963086273432507,-0.14835841889017276,393,0.8212659380692168
0.46,0.5,0.5,0.03,0.0,1.0,2.0,6,72,2,both,0.8463175987338813,2.349450700107975,1.9011080910374352,-0.13789680734678775,169,104,65,0.6153846153846154,0.38461538461538464,0.44970414201183434,-0.01049999999999995,always_long,1.642626226077132,2.497809118998148,-0.7963086273432507,-0.14835841889017276,393,0.8212659380692168
0.46,0.5,0.6,0.03,0.0,1.0,2.0,6,72,2,both,0.8463175987338813,2.349450700107975,1.9011080910374352,-0.13789680734678775,169,104,65,0.6153846153846154,0.38461538461538464,0.44970414201183434,-0.01049999999999995,always_long,1.642626226077132,2.497809118998148,-0.7963086273432507,-0.14835841889017276,393,0.8212659380692168
0.46,0.5,0.7,0.03,0.0,1.0,2.0,6,72,2,both,0.8463175987338813,2.349450700107975,1.9011080910374352,-0.13789680734678775,169,104,65,0.6153846153846154,0.38461538461538464,0.44970414201183434,-0.01049999999999995,always_long,1.642626226077132,2.497809118998148,-0.7963086273432507,-0.14835841889017276,393,0.8212659380692168
0.46,0.5,0.4,0.03,0.0,1.0,3.0,6,72,2,both,0.9221956708988848,2.313729713978469,2.068274628539185,-0.14797521322875942,151,93,58,0.6158940397350994,0.3841059602649007,0.36423841059602646,-0.010499999999999973,always_long,1.5765959925133703,2.376334905699152,-0.6544003216144856,-0.0626051917206829,311,0.8586065573770492
0.46,0.5,0.5,0.03,0.0,1.0,3.0,6,72,2,both,0.9221956708988848,2.313729713978469,2.068274628539185,-0.14797521322875942,151,93,58,0.6158940397350994,0.3841059602649007,0.36423841059602646,-0.010499999999999973,always_long,1.5765959925133703,2.376334905699152,-0.6544003216144856,-0.0626051917206829,311,0.8586065573770492
0.46,0.5,0.6,0.03,0.0,1.0,3.0,6,72,2,both,0.9221956708988848,2.313729713978469,2.068274628539185,-0.14797521322875942,151,93,58,0.6158940397350994,0.3841059602649007,0.36423841059602646,-0.010499999999999973,always_long,1.5765959925133703,2.376334905699152,-0.6544003216144856,-0.0626051917206829,311,0.8586065573770492
0.46,0.5,0.7,0.03,0.0,1.0,3.0,6,72,2,both,0.9221956708988848,2.313729713978469,2.068274628539185,-0.14797521322875942,151,93,58,0.6158940397350994,0.3841059602649007,0.36423841059602646,-0.010499999999999973,always_long,1.5765959925133703,2.376334905699152,-0.6544003216144856,-0.0626051917206829,311,0.8586065573770492
0.46,0.5,0.4,0.03,0.0,1.0,3.0,6,48,2,both,0.8863149559537769,2.2649621676860785,1.9888587949289822,-0.17818463010026395,157,98,59,0.6242038216560509,0.37579617834394907,0.39490445859872614,-0.010499999999999966,always_long,1.643993968109462,2.431258661095116,-0.7576790121556851,-0.16629649340903763,351,0.8403916211293261
0.46,0.5,0.5,0.03,0.0,1.0,3.0,6,48,2,both,0.8863149559537769,2.2649621676860785,1.9888587949289822,-0.17818463010026395,157,98,59,0.6242038216560509,0.37579617834394907,0.39490445859872614,-0.010499999999999966,always_long,1.643993968109462,2.431258661095116,-0.7576790121556851,-0.16629649340903763,351,0.8403916211293261
0.46,0.5,0.6,0.03,0.0,1.0,3.0,6,48,2,both,0.8863149559537769,2.2649621676860785,1.9888587949289822,-0.17818463010026395,157,98,59,0.6242038216560509,0.37579617834394907,0.39490445859872614,-0.010499999999999966,always_long,1.643993968109462,2.431258661095116,-0.7576790121556851,-0.16629649340903763,351,0.8403916211293261
0.46,0.5,0.7,0.03,0.0,1.0,3.0,6,48,2,both,0.8863149559537769,2.2649621676860785,1.9888587949289822,-0.17818463010026395,157,98,59,0.6242038216560509,0.37579617834394907,0.39490445859872614,-0.010499999999999966,always_long,1.643993968109462,2.431258661095116,-0.7576790121556851,-0.16629649340903763,351,0.8403916211293261
