entry_atr_mult,sl_atr_mult,tp_atr_mult,min_hold,max_hold,cooldown,long_threshold,short_threshold,long_signal_threshold,short_signal_threshold,score,sharpe,total_ret,maxdd,win_rate,n_trades,n_long,n_short,short_ratio
0.9,1.0,3.0,18,48,3,0.58,0.53,0.08,0.03,1.1588687712558248,1.109486055206442,0.27740459951115093,-0.07613138303489021,0.4888888888888889,45,5,40,0.8888888888888888
0.6,1.0,3.0,18,48,3,0.58,0.53,0.08,0.03,1.0799967675688003,1.0306140515194175,0.2558604555553692,-0.0761313830348892,0.4888888888888889,45,5,40,0.8888888888888888
0.3,1.0,3.0,18,48,3,0.58,0.53,0.08,0.03,1.0739385133884358,1.024555797339053,0.2566503708734711,-0.0761313830348881,0.4666666666666667,45,5,40,0.8888888888888888
0.9,1.0,3.0,18,48,3,0.6,0.53,0.1,0.03,1.0647817494565741,1.014781749456574,0.23328986898740722,-0.076131383034888,0.5,40,0,40,1.0
0.9,1.0,3.0,18,48,3,0.63,0.53,0.13,0.03,1.0647817494565741,1.014781749456574,0.23328986898740722,-0.076131383034888,0.5,40,0,40,1.0
0.9,1.0,3.0,18,48,3,0.65,0.53,0.15,0.03,1.0647817494565741,1.014781749456574,0.23328986898740722,-0.076131383034888,0.5,40,0,40,1.0
0.9,1.0,2.5,18,48,3,0.58,0.53,0.08,0.03,1.0485440119057852,0.9990271036932248,0.24143447422493813,-0.07613138303488909,0.4782608695652174,46,5,41,0.8913043478260869
0.3,1.0,3.0,18,48,3,0.6,0.53,0.1,0.03,1.0259179223896442,0.9759179223896443,0.2253394867014813,-0.07613138303488635,0.475,40,0,40,1.0
0.3,1.0,3.0,18,48,3,0.63,0.53,0.13,0.03,1.0259179223896442,0.9759179223896443,0.2253394867014813,-0.07613138303488635,0.475,40,0,40,1.0
0.3,1.0,3.0,18,48,3,0.65,0.53,0.15,0.03,1.0259179223896442,0.9759179223896443,0.2253394867014813,-0.07613138303488635,0.475,40,0,40,1.0
0.6,1.0,3.0,18,48,3,0.6,0.53,0.1,0.03,1.0062354482591827,0.9562354482591827,0.21852948378031734,-0.0761313830348874,0.5,40,0,40,1.0
0.6,1.0,3.0,18,48,3,0.63,0.53,0.13,0.03,1.0062354482591827,0.9562354482591827,0.21852948378031734,-0.0761313830348874,0.5,40,0,40,1.0
0.6,1.0,3.0,18,48,3,0.65,0.53,0.15,0.03,1.0062354482591827,0.9562354482591827,0.21852948378031734,-0.0761313830348874,0.5,40,0,40,1.0
0.9,1.0,2.5,18,48,3,0.6,0.53,0.1,0.03,0.9783461117747876,0.9283461117747875,0.20703876884943484,-0.07613138303488737,0.4878048780487805,41,0,41,1.0
0.9,1.0,2.5,18,48,3,0.63,0.53,0.13,0.03,0.9783461117747876,0.9283461117747875,0.20703876884943484,-0.07613138303488737,0.4878048780487805,41,0,41,1.0
0.9,1.0,2.5,18,48,3,0.65,0.53,0.15,0.03,0.9783461117747876,0.9283461117747875,0.20703876884943484,-0.07613138303488737,0.4878048780487805,41,0,41,1.0
0.6,1.0,2.5,18,48,3,0.58,0.53,0.08,0.03,0.9681566005319188,0.9186396923193584,0.220488304784491,-0.07613138303488824,0.4782608695652174,46,5,41,0.8913043478260869
0.3,1.0,2.5,18,48,3,0.58,0.53,0.08,0.03,0.9597752420033301,0.9102583337907697,0.22038222073482272,-0.07613138303488691,0.45652173913043476,46,5,41,0.8913043478260869
0.9,1.0,3.0,18,48,2,0.58,0.53,0.08,0.03,0.954321791142222,0.9049390750928393,0.2202742085962528,-0.0761313830348875,0.4666666666666667,45,5,40,0.8888888888888888
0.3,1.0,2.5,18,48,3,0.6,0.53,0.1,0.03,0.9358642362613806,0.8858642362613806,0.19839107714104243,-0.07613138303488574,0.4634146341463415,41,0,41,1.0
0.3,1.0,2.5,18,48,3,0.63,0.53,0.13,0.03,0.9358642362613806,0.8858642362613806,0.19839107714104243,-0.07613138303488574,0.4634146341463415,41,0,41,1.0
0.3,1.0,2.5,18,48,3,0.65,0.53,0.15,0.03,0.9358642362613806,0.8858642362613806,0.19839107714104243,-0.07613138303488574,0.4634146341463415,41,0,41,1.0
