entry_atr_mult,sl_atr_mult,tp_atr_mult,min_hold,max_hold,cooldown,min_sl,long_threshold,short_threshold,signal_threshold,ret,sharpe,maxdd,active_bars
0.0,1.5,3.0,12,24,3,0.01,0.6,0.4,0.1,4.223884524592801,1.3680749773119298,-0.26390266391620065,17113
0.0,1.5,3.0,12,24,3,0.01,0.55,0.45,0.05,4.223884524592801,1.3680749773119298,-0.26390266391620065,17113
0.0,1.5,3.0,12,24,3,0.01,0.65,0.35,0.15,4.223884524592801,1.3680749773119298,-0.26390266391620065,17113
0.0,1.5,3.0,12,48,3,0.01,0.6,0.4,0.1,4.008955524660055,1.3304404909561862,-0.2805322656493169,17973
0.0,1.5,3.0,12,48,3,0.01,0.55,0.45,0.05,4.008955524660055,1.3304404909561862,-0.2805322656493169,17973
0.0,1.5,3.0,12,48,3,0.01,0.65,0.35,0.15,4.008955524660055,1.3304404909561862,-0.2805322656493169,17973
0.3,1.5,3.0,12,24,3,0.01,0.55,0.45,0.05,3.172050688382293,1.1992482995253122,-0.259041920191095,17113
0.3,1.5,3.0,12,24,3,0.01,0.6,0.4,0.1,3.172050688382293,1.1992482995253122,-0.259041920191095,17113
0.3,1.5,3.0,12,24,3,0.01,0.65,0.35,0.15,3.172050688382293,1.1992482995253122,-0.259041920191095,17113
0.3,1.5,3.0,12,48,3,0.01,0.65,0.35,0.15,3.131442365472826,1.1896042156057405,-0.27960204866634153,17973
0.3,1.5,3.0,12,48,3,0.01,0.6,0.4,0.1,3.131442365472826,1.1896042156057405,-0.27960204866634153,17973
0.3,1.5,3.0,12,48,3,0.01,0.55,0.45,0.05,3.131442365472826,1.1896042156057405,-0.27960204866634153,17973
0.6,1.5,3.0,12,24,3,0.01,0.55,0.45,0.05,2.9327125885228735,1.1554280494895859,-0.25439423471693845,17113
0.6,1.5,3.0,12,24,3,0.01,0.65,0.35,0.15,2.9327125885228735,1.1554280494895859,-0.25439423471693845,17113
0.6,1.5,3.0,12,24,3,0.01,0.6,0.4,0.1,2.9327125885228735,1.1554280494895859,-0.25439423471693845,17113
0.6,1.5,3.0,12,48,3,0.01,0.6,0.4,0.1,2.790785811148994,1.1212742269637457,-0.30591515762138166,17973
0.6,1.5,3.0,12,48,3,0.01,0.55,0.45,0.05,2.790785811148994,1.1212742269637457,-0.30591515762138166,17973
0.6,1.5,3.0,12,48,3,0.01,0.65,0.35,0.15,2.790785811148994,1.1212742269637457,-0.30591515762138166,17973
0.0,1.5,3.0,12,48,3,0.01,0.7,0.3,0.2,2.394731020048612,1.1048452337718764,-0.34961343932098,15030
0.0,1.5,3.0,12,24,3,0.01,0.7,0.3,0.2,2.206376429466872,1.0553412356184402,-0.2665570115364259,13746
0.3,1.5,3.0,12,48,3,0.01,0.7,0.3,0.2,1.3546485784861773,0.7894920063084704,-0.3802135499515595,15030
0.6,1.5,3.0,12,48,3,0.01,0.7,0.3,0.2,1.3467661573904137,0.7891266417651538,-0.41357165980445415,15030
0.3,1.5,3.0,12,24,3,0.01,0.7,0.3,0.2,1.0766422885550542,0.6752379884331354,-0.2950156613607185,13746
0.6,1.5,3.0,12,24,3,0.01,0.7,0.3,0.2,0.9895683371843753,0.6388943965284825,-0.2801585217306195,13746
0.0,2.5,3.0,12,48,3,0.01,0.65,0.35,0.15,0.9916784014203512,0.5698161745178542,-0.4942474005776803,18384
0.0,2.5,3.0,12,48,3,0.01,0.6,0.4,0.1,0.9916784014203512,0.5698161745178542,-0.4942474005776803,18384
0.0,2.5,3.0,12,48,3,0.01,0.55,0.45,0.05,0.9916784014203512,0.5698161745178542,-0.4942474005776803,18384
0.0,1.5,2.0,12,48,3,0.01,0.65,0.35,0.15,0.7655293798346299,0.4705995185308326,-0.3225937089224283,17641
0.0,1.5,2.0,12,48,3,0.01,0.55,0.45,0.05,0.7655293798346299,0.4705995185308326,-0.3225937089224283,17641
0.0,1.5,2.0,12,48,3,0.01,0.6,0.4,0.1,0.7655293798346299,0.4705995185308326,-0.3225937089224283,17641
0.0,2.5,3.0,4,48,3,0.01,0.7,0.3,0.2,0.6367467423588329,0.4703022862659653,-0.45299210785718164,15425
0.3,1.5,2.0,12,48,3,0.01,0.55,0.45,0.05,0.6753049853651061,0.43406931547884436,-0.3303832221903624,17641
0.3,1.5,2.0,12,48,3,0.01,0.6,0.4,0.1,0.6753049853651061,0.43406931547884436,-0.3303832221903624,17641
0.3,1.5,2.0,12,48,3,0.01,0.65,0.35,0.15,0.6753049853651061,0.43406931547884436,-0.3303832221903624,17641
0.6,1.5,2.0,12,48,3,0.01,0.65,0.35,0.15,0.626404274870024,0.41121888127402395,-0.2882325382686101,17641
0.6,1.5,2.0,12,48,3,0.01,0.6,0.4,0.1,0.626404274870024,0.41121888127402395,-0.2882325382686101,17641
0.6,1.5,2.0,12,48,3,0.01,0.55,0.45,0.05,0.626404274870024,0.41121888127402395,-0.2882325382686101,17641
0.3,2.5,3.0,12,48,3,0.01,0.55,0.45,0.05,0.5002282967411398,0.3422621585241028,-0.45363892275053014,18384
0.3,2.5,3.0,12,48,3,0.01,0.65,0.35,0.15,0.5002282967411398,0.3422621585241028,-0.45363892275053014,18384
0.3,2.5,3.0,12,48,3,0.01,0.6,0.4,0.1,0.5002282967411398,0.3422621585241028,-0.45363892275053014,18384
0.6,2.5,3.0,12,48,3,0.01,0.65,0.35,0.15,0.49380189025186594,0.3400379855296539,-0.43598361343434605,18384
0.6,2.5,3.0,12,48,3,0.01,0.6,0.4,0.1,0.49380189025186594,0.3400379855296539,-0.43598361343434605,18384
0.6,2.5,3.0,12,48,3,0.01,0.55,0.45,0.05,0.49380189025186594,0.3400379855296539,-0.43598361343434605,18384
0.0,2.5,3.0,12,48,3,0.01,0.7,0.3,0.2,0.4413284110407074,0.326695140237283,-0.4482722908544107,15633
0.0,2.5,2.0,4,48,3,0.01,0.7,0.3,0.2,0.3007721261068619,0.26367208218003035,-0.4885352693498594,14650
0.0,1.5,2.0,12,24,3,0.01,0.65,0.35,0.15,0.35521115962708527,0.25176312202930945,-0.3830165845504175,16994
0.0,1.5,2.0,12,24,3,0.01,0.55,0.45,0.05,0.35521115962708527,0.25176312202930945,-0.3830165845504175,16994
0.0,1.5,2.0,12,24,3,0.01,0.6,0.4,0.1,0.35521115962708527,0.25176312202930945,-0.3830165845504175,16994
0.3,2.5,3.0,4,48,3,0.01,0.7,0.3,0.2,0.257216429211512,0.22371789437839562,-0.4973182185638744,15425
0.0,1.5,2.0,12,48,3,0.01,0.7,0.3,0.2,0.27726975858180625,0.2188989960380993,-0.4759821274801092,14427
