entry_atr_mult,sl_atr_mult,tp_atr_mult,min_hold,max_hold,cooldown,min_sl,long_threshold,short_threshold,signal_threshold,ret,sharpe,maxdd,active_bars
0.0,1.5,3.0,12,48,3,0.01,0.6,0.4,0.1,0.7380024004323436,0.47382258650284126,-0.3058916724439154,16897
0.0,1.5,3.0,12,48,3,0.01,0.55,0.45,0.05,0.7380024004323436,0.47382258650284126,-0.3058916724439154,16897
0.0,1.5,3.0,12,48,3,0.01,0.65,0.35,0.15,0.7380024004323436,0.47382258650284126,-0.3058916724439154,16897
0.0,1.5,3.0,12,24,3,0.01,0.6,0.4,0.1,0.2911860308781551,0.21500016678723138,-0.42275014824348794,15880
0.0,1.5,3.0,12,24,3,0.01,0.55,0.45,0.05,0.2911860308781551,0.21500016678723138,-0.42275014824348794,15880
0.0,1.5,3.0,12,24,3,0.01,0.65,0.35,0.15,0.2911860308781551,0.21500016678723138,-0.42275014824348794,15880
0.0,1.5,3.0,4,48,3,0.01,0.55,0.45,0.05,0.2239859328083016,0.19132549824755032,-0.4249314621684143,16595
0.0,1.5,3.0,4,48,3,0.01,0.65,0.35,0.15,0.2239859328083016,0.19132549824755032,-0.4249314621684143,16595
0.0,1.5,3.0,4,48,3,0.01,0.6,0.4,0.1,0.2239859328083016,0.19132549824755032,-0.4249314621684143,16595
0.3,1.5,3.0,12,48,3,0.01,0.55,0.45,0.05,0.21275491973720584,0.16820926789211615,-0.42150525498883906,16897
0.3,1.5,3.0,12,48,3,0.01,0.65,0.35,0.15,0.21275491973720584,0.16820926789211615,-0.42150525498883906,16897
0.3,1.5,3.0,12,48,3,0.01,0.6,0.4,0.1,0.21275491973720584,0.16820926789211615,-0.42150525498883906,16897
0.6,1.5,3.0,12,48,3,0.01,0.65,0.35,0.15,0.0838884082051401,0.07058694755927158,-0.45254770397955135,16897
0.6,1.5,3.0,12,48,3,0.01,0.55,0.45,0.05,0.0838884082051401,0.07058694755927158,-0.45254770397955135,16897
0.6,1.5,3.0,12,48,3,0.01,0.6,0.4,0.1,0.0838884082051401,0.07058694755927158,-0.45254770397955135,16897
0.0,1.5,2.0,12,48,3,0.01,0.65,0.35,0.15,0.08641870467703949,0.07004574664203363,-0.4205913986678138,16500
0.0,1.5,2.0,12,48,3,0.01,0.6,0.4,0.1,0.08641870467703949,0.07004574664203363,-0.4205913986678138,16500
0.0,1.5,2.0,12,48,3,0.01,0.55,0.45,0.05,0.08641870467703949,0.07004574664203363,-0.4205913986678138,16500
0.0,1.5,2.0,4,48,3,0.01,0.6,0.4,0.1,0.06966949043757764,0.06574602397139054,-0.46044569525195445,15869
0.0,1.5,2.0,4,48,3,0.01,0.55,0.45,0.05,0.06966949043757764,0.06574602397139054,-0.46044569525195445,15869
0.0,1.5,2.0,4,48,3,0.01,0.65,0.35,0.15,0.06966949043757764,0.06574602397139054,-0.46044569525195445,15869
0.0,1.5,3.0,12,24,3,0.01,0.7,0.3,0.2,0.04373971248453734,0.045668845376098846,-0.37897204400156903,9214
0.3,1.5,3.0,12,24,3,0.01,0.55,0.45,0.05,0.046988953843189574,0.03932063524720157,-0.48921392972537,15880
0.3,1.5,3.0,12,24,3,0.01,0.6,0.4,0.1,0.046988953843189574,0.03932063524720157,-0.48921392972537,15880
0.3,1.5,3.0,12,24,3,0.01,0.65,0.35,0.15,0.046988953843189574,0.03932063524720157,-0.48921392972537,15880
0.6,1.5,3.0,12,24,3,0.01,0.65,0.35,0.15,-0.002875326288666713,-0.002474035504487032,-0.5157492171295028,15880
0.6,1.5,3.0,12,24,3,0.01,0.55,0.45,0.05,-0.002875326288666713,-0.002474035504487032,-0.5157492171295028,15880
