name,ret,sharpe,sortino,maxdd,trades,nL,nS,win,alpha
LGBM-alone (own tuned rule),0.7262697843289208,1.603804893141573,0.8434687893442862,-0.09099013354184796,165,73,92,0.5272727272727272,0.5569379058135091
TCN-alone (own tuned rule),0.5773849801283315,0.9541177083370812,0.7759377891733957,-0.17227844390707903,266,38,228,0.4473684210526316,0.40805310161291986
PATCH-alone (own tuned rule),0.3898729245268633,0.8618680695022459,0.42835804169504704,-0.1442655769516777,126,0,126,0.4523809523809524,0.22054104601145164
MAMBA-alone (own tuned rule),0.18636962467349494,0.3093031346011048,0.2961849946368267,-0.25554357414970036,269,82,187,0.4684014869888476,0.01703774615808329
De-biased EW-mean,0.015477501917593006,0.031856179781382915,0.02428389424831029,-0.22127614160284723,373,193,180,0.42359249329758714,-0.15385437659781864
EW-mean (baseline),-0.029592510663546512,-0.05712769338086889,-0.05353018306581544,-0.30871802797101333,476,66,410,0.4432773109243697,-0.19892438917895816
Perf-weighted (trailing),-0.18741079576301656,-0.35421851600703425,-0.3112708355939311,-0.47572748339311915,514,262,252,0.4143968871595331,-0.3567426742784282
Stack signals+regime (lgbm),-0.2238888872634105,-0.3546532316393205,-0.40965233880381047,-0.39290687006620467,772,420,352,0.42357512953367876,-0.39322076577882215
Hedge (exp-weights),-0.2613759914177375,-0.5392456278985975,-0.4419866478935456,-0.3693027812325964,434,219,215,0.423963133640553,-0.43070786993314913
Stack signals-only (lgbm),-0.32337393031149064,-0.5471418019603976,-0.6157909709580048,-0.41993861926186726,754,417,337,0.41909814323607425,-0.4927058088269023
Pruned LGBM+mamba (db),-0.3331119785019412,-0.6958418702374627,-0.6307061332015133,-0.5684316234040245,501,263,238,0.40119760479041916,-0.5024438570173528
Stack signals-only (logit),-0.5189223171343449,-1.0614556052434216,-1.1452655433201844,-0.5821834304670929,749,443,306,0.41388518024032045,-0.6882541956497565
