entry_atr_mult,sl_atr_mult,tp_atr_mult,min_hold,max_hold,cooldown,min_sl,long_threshold,short_threshold,signal_threshold,ret,sharpe,maxdd,active_bars
0.0,1.5,2.0,12,24,3,0.01,0.55,0.45,0.05,0.8482691753600993,0.49738326860278204,-0.412625484408371,17348
0.3,1.5,2.0,12,24,3,0.01,0.55,0.45,0.05,0.662069140389582,0.41631491114269187,-0.4105780109132103,17348
0.6,1.5,2.0,12,24,3,0.01,0.55,0.45,0.05,0.6448628132588647,0.4095606377331311,-0.38860426580822927,17348
0.0,1.5,3.0,4,24,3,0.01,0.55,0.45,0.05,0.4213252910945262,0.32108387912625486,-0.35620637487177453,16985
0.3,2.5,3.0,12,48,3,0.01,0.55,0.45,0.05,0.45176604024521305,0.3147424054182615,-0.36655966332669887,18758
0.0,2.5,3.0,12,48,3,0.01,0.55,0.45,0.05,0.45416653538816454,0.3128622991561688,-0.3858082667787579,18758
0.0,2.5,3.0,12,24,3,0.01,0.55,0.45,0.05,0.45465622681094,0.3094250963498137,-0.3224986751782373,17770
0.6,2.5,3.0,12,48,3,0.01,0.55,0.45,0.05,0.3375298875615791,0.24618790014452163,-0.3830635120947998,18758
0.3,2.5,3.0,12,24,3,0.01,0.55,0.45,0.05,0.33782025895201007,0.2429661629311941,-0.3196914133648633,17770
0.0,1.5,3.0,12,24,3,0.01,0.55,0.45,0.05,0.3042809722705271,0.21838129175760443,-0.4910651852653589,17505
0.6,2.5,3.0,12,24,3,0.01,0.55,0.45,0.05,0.29712578595084893,0.2179016705554205,-0.337553815058324,17770
0.6,1.5,3.0,12,24,3,0.01,0.55,0.45,0.05,0.2787490592556561,0.2066573517681955,-0.5158226221821367,17505
0.0,2.5,3.0,4,24,3,0.01,0.55,0.45,0.05,0.26158492533699196,0.20642281653731023,-0.3551415001696311,17566
0.3,2.5,3.0,4,24,3,0.01,0.55,0.45,0.05,0.2558286896473678,0.20479189201281353,-0.3688203285379352,17566
0.3,1.5,3.0,12,24,3,0.01,0.55,0.45,0.05,0.2623011628980987,0.1947050984517937,-0.4938048994347926,17505
0.0,1.5,3.0,4,48,3,0.01,0.55,0.45,0.05,0.18791457587087868,0.15638277267185277,-0.4009957721935775,17882
0.3,1.5,3.0,4,24,3,0.01,0.55,0.45,0.05,0.17691781214834013,0.15188356238413545,-0.3886181125704058,16985
0.6,2.5,3.0,4,24,3,0.01,0.55,0.45,0.05,0.1532714957137975,0.1289452230510682,-0.40843842406194575,17566
0.3,2.5,3.0,4,24,3,0.01,0.7,0.3,0.2,0.027111150065729506,0.12018041397742667,-0.16294325094809112,675
0.3,2.5,3.0,12,24,3,0.01,0.7,0.3,0.2,0.02630082375276488,0.09592327532366261,-0.20958801109434566,778
0.3,1.5,3.0,12,24,3,0.01,0.7,0.3,0.2,0.024990104662963475,0.09341973320580137,-0.18543246803866237,703
0.3,1.5,2.0,12,48,3,0.01,0.55,0.45,0.05,0.09359289011418426,0.07365931767728282,-0.5395651727816617,17942
0.3,1.5,3.0,12,48,3,0.01,0.7,0.3,0.2,0.01677474181344496,0.06122380709696999,-0.16743275541582198,891
0.0,1.5,2.0,4,24,3,0.01,0.55,0.45,0.05,0.03524339532014675,0.03307826275780405,-0.4169796858056528,16623
0.3,2.5,3.0,4,48,3,0.01,0.7,0.3,0.2,0.007967259629213075,0.03255954167025066,-0.17209583513781343,1021
0.3,2.5,3.0,12,48,3,0.01,0.7,0.3,0.2,0.007235508242328992,0.025057223802201586,-0.2180422882767909,1116
0.0,1.5,2.0,12,48,3,0.01,0.55,0.45,0.05,0.021206705314702035,0.01708223991535579,-0.5651366087544357,17942
0.6,1.5,2.0,12,48,3,0.01,0.55,0.45,0.05,-0.0266079947124509,-0.02236528702925514,-0.5425471941669928,17942
0.3,2.5,2.0,4,24,3,0.01,0.7,0.3,0.2,-0.006576837732980123,-0.03134880590220579,-0.16686451897584587,598
0.6,2.5,3.0,12,24,3,0.01,0.7,0.3,0.2,-0.011444176345920543,-0.042751250210417355,-0.20329637785442434,778
0.3,1.5,2.0,12,24,3,0.01,0.7,0.3,0.2,-0.012178275462661703,-0.047092659045259076,-0.18209697301834912,643
0.6,2.5,3.0,4,24,3,0.01,0.7,0.3,0.2,-0.010664558288389414,-0.048443834139828,-0.15658347545175982,675
0.6,1.5,3.0,12,24,3,0.01,0.7,0.3,0.2,-0.012927590229275365,-0.04957550123628664,-0.18363298469203113,703
0.3,1.5,3.0,4,48,3,0.01,0.55,0.45,0.05,-0.06668733962709528,-0.06370054299341399,-0.42656466175865554,17882
0.3,2.5,2.0,12,24,3,0.01,0.7,0.3,0.2,-0.0169251870287066,-0.06444474904981869,-0.21329128906483313,716
0.6,1.5,3.0,12,48,3,0.01,0.7,0.3,0.2,-0.02129844421193572,-0.07965948887459912,-0.1673513783485444,891
0.6,2.5,3.0,12,48,3,0.01,0.7,0.3,0.2,-0.031233569283343643,-0.11070510479560683,-0.21799803200170464,1116
0.0,2.5,3.0,12,24,3,0.01,0.7,0.3,0.2,-0.03075630092405468,-0.11438749982828085,-0.2421816897777792,778
