entry_atr_mult,sl_atr_mult,tp_atr_mult,min_hold,max_hold,cooldown,min_sl,long_threshold,short_threshold,signal_threshold,ret,sharpe,maxdd,active_bars
0.0,1.5,3.0,12,24,3,0.01,0.6,0.4,0.1,0.11577816311663858,0.11152492366617571,-0.32146977635926005,9887
0.0,1.5,3.0,12,24,3,0.01,0.65,0.35,0.15,0.11577816311663858,0.11152492366617571,-0.32146977635926005,9887
0.0,1.5,3.0,12,24,3,0.01,0.55,0.45,0.05,0.11577816311663858,0.11152492366617571,-0.32146977635926005,9887
0.0,1.5,3.0,12,24,3,0.01,0.7,0.3,0.2,0.11577816311663858,0.11152492366617571,-0.32146977635926005,9887
0.0,1.5,2.0,4,48,3,0.01,0.6,0.4,0.1,0.07703135128834604,0.0898302967631551,-0.3978369248543834,8607
0.0,1.5,2.0,4,48,3,0.01,0.7,0.3,0.2,0.07703135128834604,0.0898302967631551,-0.3978369248543834,8607
0.0,1.5,2.0,4,48,3,0.01,0.65,0.35,0.15,0.07703135128834604,0.0898302967631551,-0.3978369248543834,8607
0.0,1.5,2.0,4,48,3,0.01,0.55,0.45,0.05,0.07703135128834604,0.0898302967631551,-0.3978369248543834,8607
0.6,1.5,2.0,4,48,3,0.01,0.65,0.35,0.15,0.06212833648545857,0.07795495505695339,-0.3955300069974151,8607
0.6,1.5,2.0,4,48,3,0.01,0.6,0.4,0.1,0.06212833648545857,0.07795495505695339,-0.3955300069974151,8607
0.6,1.5,2.0,4,48,3,0.01,0.55,0.45,0.05,0.06212833648545857,0.07795495505695339,-0.3955300069974151,8607
0.6,1.5,2.0,4,48,3,0.01,0.7,0.3,0.2,0.06212833648545857,0.07795495505695339,-0.3955300069974151,8607
0.0,1.5,3.0,12,48,3,0.01,0.7,0.3,0.2,0.022441070190574175,0.022353738123780727,-0.30460845336090236,10835
0.0,1.5,3.0,12,48,3,0.01,0.55,0.45,0.05,0.022441070190574175,0.022353738123780727,-0.30460845336090236,10835
0.0,1.5,3.0,12,48,3,0.01,0.6,0.4,0.1,0.022441070190574175,0.022353738123780727,-0.30460845336090236,10835
0.0,1.5,3.0,12,48,3,0.01,0.65,0.35,0.15,0.022441070190574175,0.022353738123780727,-0.30460845336090236,10835
0.3,1.5,3.0,12,24,3,0.01,0.6,0.4,0.1,0.010663629693313803,0.011181945119043801,-0.38607712463457167,9887
0.3,1.5,3.0,12,24,3,0.01,0.55,0.45,0.05,0.010663629693313803,0.011181945119043801,-0.38607712463457167,9887
0.3,1.5,3.0,12,24,3,0.01,0.65,0.35,0.15,0.010663629693313803,0.011181945119043801,-0.38607712463457167,9887
