entry_atr_mult,sl_atr_mult,tp_atr_mult,min_hold,max_hold,cooldown,min_sl,long_threshold,short_threshold,sharpe,ret
0.0,1.5,3.0,12,48,3,0.01,0.6,0.4,2.2016969897219942,9.161830860554982
0.3,1.5,3.0,12,48,3,0.01,0.6,0.4,2.0102951707514256,7.105432124155685
0.0,1.5,3.0,12,24,3,0.01,0.6,0.4,1.7281856256448687,5.09734043522147
0.3,1.5,3.0,12,24,3,0.01,0.6,0.4,1.672169930215923,4.643311137953347
0.0,1.5,3.0,12,24,3,0.01,0.56,0.44,1.5556555093126014,5.0736044001561345
0.3,1.5,3.0,12,48,3,0.01,0.58,0.42,1.5388546712118827,4.381197910632288
0.0,2.5,3.0,12,48,3,0.01,0.6,0.4,1.5354006145768144,4.034871001687023
0.0,1.5,3.0,4,48,3,0.01,0.6,0.4,1.5302691225913996,3.2712554608832747
0.0,1.5,3.0,12,48,3,0.01,0.58,0.42,1.4942537184755365,4.226654213267707
0.3,1.5,3.0,12,24,3,0.01,0.56,0.44,1.486366244598084,4.491648008295669
0.0,1.5,2.0,4,48,3,0.01,0.54,0.46,1.4818944878381326,3.4678286040788047
0.0,1.5,3.0,12,24,3,0.01,0.54,0.46,1.480874012882582,4.622832774435072
0.3,2.5,3.0,12,48,3,0.01,0.6,0.4,1.4739016109424943,3.6590722328775236
0.3,1.5,2.0,12,48,3,0.01,0.54,0.46,1.4415489667168997,4.334112383707491
0.0,1.5,2.0,12,48,3,0.01,0.54,0.46,1.4394146585726146,4.406718300828934
0.3,1.5,3.0,4,48,3,0.01,0.6,0.4,1.4330237145149063,2.7945964742710445
0.0,2.5,2.0,4,24,3,0.01,0.6,0.4,1.3731640706583095,2.4720024415977915
0.3,2.5,2.0,4,48,3,0.01,0.6,0.4,1.3507627473964636,2.5180137343624778
0.0,2.5,3.0,4,48,3,0.01,0.6,0.4,1.3504522129910659,2.8194746820396643
0.3,2.5,3.0,4,48,3,0.01,0.6,0.4,1.3472396931956196,2.753131039397304
0.3,1.5,2.0,4,48,3,0.01,0.54,0.46,1.3462361075786244,2.7996338035743555
0.0,2.5,2.0,4,48,3,0.01,0.6,0.4,1.344802213347692,2.586088364406981
0.3,2.5,2.0,4,48,3,0.01,0.54,0.46,1.3283095804795324,3.0610241322320544
0.0,2.5,2.0,4,48,3,0.01,0.54,0.46,1.3120517239702796,3.0556408953582492
0.0,1.5,2.0,4,48,3,0.01,0.6,0.4,1.2934787393082507,2.202222214169504
0.0,1.5,2.0,4,24,3,0.01,0.6,0.4,1.2893064774812377,2.103716247210115
0.3,2.5,2.0,4,24,3,0.01,0.6,0.4,1.2782157055374415,2.102021448272009
0.3,1.5,3.0,12,24,3,0.01,0.54,0.46,1.276147326983908,3.354010180619495
0.3,2.5,2.0,4,48,3,0.01,0.56,0.44,1.2335516772099915,2.5951028177447957
0.0,2.5,3.0,4,24,3,0.01,0.6,0.4,1.2315441548617179,2.183121430594545
0.0,1.5,2.0,12,48,3,0.01,0.6,0.4,1.2118952347871002,2.610403470968412
0.3,2.5,2.0,4,24,3,0.01,0.56,0.44,1.199278490386009,2.3434080342999897
0.0,2.5,3.0,12,24,3,0.01,0.6,0.4,1.1757662820313266,2.4006621266822865
0.0,1.5,3.0,12,48,3,0.01,0.54,0.46,1.1728522910247807,2.9192710548547463
0.3,1.5,2.0,4,48,3,0.01,0.6,0.4,1.1642822932252619,1.7777994868109546
0.0,2.5,2.0,4,48,3,0.01,0.56,0.44,1.146667881487461,2.333655055508222
0.3,1.5,2.0,4,48,3,0.01,0.56,0.44,1.144511930155139,2.0251453304737668
0.3,2.5,2.0,4,24,3,0.01,0.58,0.42,1.1409761858993102,2.0251615614833733
0.3,1.5,2.0,4,24,3,0.01,0.6,0.4,1.1392152287528046,1.6519501899822533
0.0,1.5,2.0,4,48,3,0.01,0.56,0.44,1.1333082482641714,2.0382522513616275
0.0,1.5,3.0,4,48,3,0.01,0.54,0.46,1.1327033395210786,2.356874120950072
0.0,2.5,3.0,12,48,3,0.01,0.54,0.46,1.1287129220241714,2.7229473602852585
0.3,1.5,3.0,12,24,3,0.01,0.58,0.42,1.117050170982964,2.377837759214136
0.0,1.5,3.0,12,24,3,0.01,0.58,0.42,1.1152686894280492,2.4290531684370085
0.0,1.5,3.0,12,48,3,0.01,0.56,0.44,1.1071218569709464,2.543809283558129
0.0,2.5,2.0,4,24,3,0.01,0.58,0.42,1.1064627232056952,1.9811263988555243
0.0,1.5,3.0,4,48,3,0.01,0.58,0.42,1.1022556200209959,2.099897018429505
0.0,2.5,2.0,4,24,3,0.01,0.56,0.44,1.1003569332269234,2.0832381289287007
0.3,1.5,3.0,12,48,3,0.01,0.56,0.44,1.0996826846287333,2.469054760448002
0.3,2.5,3.0,4,24,3,0.01,0.6,0.4,1.0802331321002068,1.7180843117206268
