trade_direction,entry_atr_mult,sl_atr_mult,tp_atr_mult,min_sl,min_hold,max_hold,cooldown,long_threshold,short_threshold,signal_quantile,score,sharpe,total_ret,maxdd,win_rate,n_trades,n_long,n_short
both,1.0,1.5,3.0,0.015,8,48,3,0.925,0.075,0.075,2.6198328690528965,2.5255666161903365,1.1546926409144014,-0.12611307547079642,0.5234375,128,54,74
both,0.3,1.5,3.0,0.015,8,48,3,0.925,0.075,0.075,2.5841738369493865,2.489909835954391,1.1410049405770795,-0.12374329116685323,0.5234375,128,54,74
both,0.6,1.5,3.0,0.015,8,48,3,0.925,0.075,0.075,2.5281529941764225,2.433898265171363,1.0965506791233706,-0.126113075470795,0.5234375,128,54,74
both,0.3,1.5,3.0,0.015,8,48,3,0.95,0.05,0.05,2.509739663908915,2.441496820882018,0.9625471697309551,-0.10261927345587278,0.504950495049505,101,45,56
both,0.3,1.5,3.0,0.015,8,48,2,0.95,0.05,0.05,2.504168167533379,2.4325838358648713,0.9743580771840687,-0.10261927345587397,0.5048543689320388,103,46,57
both,0.3,1.5,3.0,0.01,8,48,2,0.925,0.075,0.075,2.4925996925429117,2.409790200417278,1.042742047724266,-0.15246597414330113,0.5069444444444444,144,60,84
both,1.0,1.5,3.0,0.015,4,48,3,0.925,0.075,0.075,2.4833513649639567,2.3898235789273303,1.0537277706727073,-0.126113075470794,0.5193798449612403,129,55,74
both,0.3,1.5,2.5,0.015,8,48,2,0.925,0.075,0.075,2.4729065162696484,2.382233232206647,1.0615319093915416,-0.12047189593728627,0.5488721804511278,133,56,77
both,0.3,1.5,3.0,0.015,4,48,3,0.925,0.075,0.075,2.4670772821592086,2.373550232910267,1.0516346341352873,-0.12374329116685116,0.5193798449612403,129,55,74
both,0.3,2.5,3.0,0.015,8,48,2,0.95,0.05,0.05,2.4448507738656424,2.3799233903010917,0.9900647772022717,-0.13722824193346714,0.5353535353535354,99,46,53
both,0.3,2.0,3.0,0.015,8,48,2,0.95,0.05,0.05,2.436697539395302,2.370123755224697,0.9592841142618873,-0.12703419833646346,0.52,100,46,54
both,1.0,1.5,3.0,0.015,8,48,3,0.95,0.05,0.05,2.4357075443902194,2.3675037508762586,0.9176795521508723,-0.10963277237753569,0.49504950495049505,101,45,56
both,1.0,1.5,3.0,0.015,8,48,2,0.95,0.05,0.05,2.431025727365695,2.359479947471615,0.9263267106469266,-0.10963277237753738,0.49514563106796117,103,46,57
both,0.3,1.5,3.0,0.015,8,48,2,0.925,0.075,0.075,2.4289453134970342,2.3339951687631766,1.037087400940492,-0.12047189593728563,0.5275590551181102,127,54,73
