symbol,earliest_1h_candle,ath_price_usd,ath_date,circulating_supply,peak_market_cap_usd
BTCUSDT,2017-08-17,126080.0,2025-10-06,20023521.0,2524565527680.0
ETHUSDT,2017-08-17,4946.05,2025-08-24,120687385.4620621,596925842864.6323
BNBUSDT,2017-11-06,1369.99,2025-10-13,134785930.43,184655376829.79572
XRPUSDT,2018-05-04,3.65,2025-07-18,61796225236.0,225556222111.4
SOLUSDT,2020-08-11,293.31,2025-01-19,576326280.4589425,169042261321.41245
ADAUSDT,2018-04-17,3.09,2021-09-02,36974724813.05008,114251899672.32474
DOGEUSDT,2019-07-05,0.731578,2021-05-08,154100446383.7052,112736496364.49828
AVAXUSDT,2020-09-22,144.96,2021-11-21,431771961.1772119,62589663492.248634
DOTUSDT,2020-08-18,54.98,2021-11-04,1682240545.567897,92489585195.32298
LINKUSDT,2019-01-16,52.7,2021-05-10,727099970.4523476,38318168442.83872
