feature,MI,spearman_rho,abs_rho,rank
ret_2h,0.006283908444444375,-0.10405501911286007,0.10405501911286007,1
fib_dist_618_48h,0.005841235065994876,0.015961927947559205,0.015961927947559205,2
ret_1h,0.005232575217433144,-0.09049405380183764,0.09049405380183764,3
hl_position_48h,0.005167359379460557,-0.043532497085605686,0.043532497085605686,4
stoch_k_14,0.005060075892364679,-0.08567958391833709,0.08567958391833709,5
ret_3h,0.004748965278872586,-0.0914342842083001,0.0914342842083001,6
ad_z_48h,0.004010403568343701,-0.04240110948511738,0.04240110948511738,7
rsi_vol_confirm,0.003517093395167148,-0.019548440253504377,0.019548440253504377,8
bb_width_50,0.0034913623219976486,0.0017067972898231283,0.0017067972898231283,9
skew_24h,0.0034488091530469056,-0.002475039201057595,0.002475039201057595,10
macd_divergence,0.003348378699567167,-0.002770317684450129,0.002770317684450129,11
range_vs_atr,0.0033473249406079653,0.010545879071926036,0.010545879071926036,12
close_vs_sma_7,0.003278268121668315,-0.0976668853260879,0.0976668853260879,13
bear_streak,0.0032309457636312544,0.09274679898179843,0.09274679898179843,14
bull_engulf,0.0031778618570856842,-0.020632376844632407,0.020632376844632407,15
doji,0.0025423103043107353,-0.0018120630705478616,0.0018120630705478616,16
close_vs_sma_720,0.0024121523181204196,0.008634688484818966,0.008634688484818966,17
candle_body,0.0022181392019224866,0.0033223670746647493,0.0033223670746647493,18
breakout_down_168h,0.002137651889904113,0.010289132756873333,0.010289132756873333,19
close_vs_s1,0.002010091069850173,-0.023258039395638065,0.023258039395638065,20
kurt_72h,0.00200223531848831,-0.0012720634423067309,0.0012720634423067309,21
obv_divergence,0.0018753305933176811,0.004477267150877116,0.004477267150877116,22
breakout_down_48h,0.0017892200436246952,0.022620081736572106,0.022620081736572106,23
mom_coherence,0.001686528007305288,-0.0035707225136296745,0.0035707225136296745,24
bb_squeeze_50,0.0016359773684064827,0.005764315039171223,0.005764315039171223,25
cloud_bullish,0.0016105490334750172,0.011074430900849325,0.011074430900849325,26
obv_z_72,0.0016090693582717641,-0.02221145554198681,0.02221145554198681,27
hour_cos,0.0015693240488658944,0.00021171300133189373,0.00021171300133189373,28
breakout_up_168h,0.00156763509265323,-0.008027194964983168,0.008027194964983168,29
vol_price_div_24h,0.0015379356062208416,-0.00678474811739535,0.00678474811739535,30
breakout_up_24h,0.0015367468795868255,-0.02601596673581241,0.02601596673581241,31
vw_rsi_14,0.00147329880318825,-0.03242341141345533,0.03242341141345533,32
var_ratio_6h,0.0013635583181934585,-0.002092712746400127,0.002092712746400127,33
supertrend_consensus,0.0013285234317010897,0.003926408195306993,0.003926408195306993,34
dist_round_1000,0.0012833691081199916,0.005941899204674017,0.005941899204674017,35
vol_price_div_12h,0.0012692338528688119,-0.006924123216387935,0.006924123216387935,36
close_vs_r1,0.0010328076288712573,-0.02026735088683918,0.02026735088683918,37
macd_hist_5_13,0.0009771309764241565,-0.07905337041829726,0.07905337041829726,38
autocorr_ret_6h,0.0008442771876007171,-0.0006201310186339825,0.0006201310186339825,39
